bull_threshold,bear_threshold,tolerance_bars,force_threshold,total_bull_signals,total_bear_signals,bull_win_rate,bear_win_rate,bull_avg_move,bear_avg_move,combined_win_rate
1.0,-1.0,0,None,1,0,100.0,0.0,500.0,0.0,50.0
1.0,-1.0,0,2.5,1,0,100.0,0.0,500.0,0.0,50.0
2.0,-2.0,0,3.0,1,0,100.0,0.0,500.0,0.0,50.0
2.0,-2.0,1,None,1,0,100.0,0.0,500.0,0.0,50.0
2.0,-2.0,1,2.5,1,0,100.0,0.0,500.0,0.0,50.0
2.0,-2.0,1,3.0,1,0,100.0,0.0,500.0,0.0,50.0
2.0,-2.0,2,None,1,0,100.0,0.0,500.0,0.0,50.0
2.0,-2.0,2,2.5,1,0,100.0,0.0,500.0,0.0,50.0
2.0,-2.0,2,3.0,1,0,100.0,0.0,500.0,0.0,50.0
2.0,-2.0,3,None,1,0,100.0,0.0,500.0,0.0,50.0
2.0,-2.0,3,2.5,1,0,100.0,0.0,500.0,0.0,50.0
2.0,-2.0,3,3.0,1,0,100.0,0.0,500.0,0.0,50.0
2.5,-2.5,0,None,1,0,100.0,0.0,300.0,0.0,50.0
2.5,-2.5,0,2.5,1,0,100.0,0.0,300.0,0.0,50.0
2.5,-2.5,0,3.0,1,0,100.0,0.0,300.0,0.0,50.0
2.5,-2.5,1,None,1,0,100.0,0.0,300.0,0.0,50.0
2.5,-2.5,1,2.5,1,0,100.0,0.0,300.0,0.0,50.0
2.5,-2.5,1,3.0,1,0,100.0,0.0,300.0,0.0,50.0
2.5,-2.5,2,None,1,0,100.0,0.0,300.0,0.0,50.0
2.5,-2.5,2,2.5,1,0,100.0,0.0,300.0,0.0,50.0
2.5,-2.5,2,3.0,1,0,100.0,0.0,300.0,0.0,50.0
2.5,-2.5,3,None,1,0,100.0,0.0,300.0,0.0,50.0
2.5,-2.5,3,2.5,1,0,100.0,0.0,300.0,0.0,50.0
2.0,-2.0,0,2.5,1,0,100.0,0.0,500.0,0.0,50.0
2.0,-2.0,0,None,1,0,100.0,0.0,500.0,0.0,50.0
1.5,-1.5,3,3.0,1,0,100.0,0.0,500.0,0.0,50.0
1.0,-1.0,3,3.0,1,0,100.0,0.0,500.0,0.0,50.0
1.0,-1.0,0,3.0,1,0,100.0,0.0,500.0,0.0,50.0
1.0,-1.0,1,None,1,0,100.0,0.0,500.0,0.0,50.0
1.0,-1.0,1,2.5,1,0,100.0,0.0,500.0,0.0,50.0
1.0,-1.0,1,3.0,1,0,100.0,0.0,500.0,0.0,50.0
1.0,-1.0,2,None,1,0,100.0,0.0,500.0,0.0,50.0
1.0,-1.0,2,2.5,1,0,100.0,0.0,500.0,0.0,50.0
1.0,-1.0,2,3.0,1,0,100.0,0.0,500.0,0.0,50.0
1.0,-1.0,3,None,1,0,100.0,0.0,500.0,0.0,50.0
1.0,-1.0,3,2.5,1,0,100.0,0.0,500.0,0.0,50.0
1.5,-1.5,0,None,1,0,100.0,0.0,500.0,0.0,50.0
1.5,-1.5,3,2.5,1,0,100.0,0.0,500.0,0.0,50.0
1.5,-1.5,0,2.5,1,0,100.0,0.0,500.0,0.0,50.0
1.5,-1.5,0,3.0,1,0,100.0,0.0,500.0,0.0,50.0
1.5,-1.5,1,None,1,0,100.0,0.0,500.0,0.0,50.0
1.5,-1.5,1,2.5,1,0,100.0,0.0,500.0,0.0,50.0
1.5,-1.5,1,3.0,1,0,100.0,0.0,500.0,0.0,50.0
1.5,-1.5,2,None,1,0,100.0,0.0,500.0,0.0,50.0
1.5,-1.5,2,2.5,1,0,100.0,0.0,500.0,0.0,50.0
1.5,-1.5,2,3.0,1,0,100.0,0.0,500.0,0.0,50.0
1.5,-1.5,3,None,1,0,100.0,0.0,500.0,0.0,50.0
2.5,-2.5,3,3.0,1,0,100.0,0.0,300.0,0.0,50.0
